name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value
Brad Pickett,100,180,240,0,140,0,100,21,0,781
Hermes Franca,200,270,160,0,0,0,50,51,50,781
Chase Hooper,200,180,160,0,0,0,30,210,0,780
Matt Serra,200,90,160,75,70,0,70,64,50,779
Amir Sadollah,100,90,240,0,70,0,50,228,0,778
Scott Holtzman,100,90,320,0,0,0,60,207,0,777
Marion Reneau,200,180,80,75,0,0,70,169,0,774
Jonathan Pearce,300,90,160,0,0,0,20,204,0,774
Gregor Gillespie,400,180,80,0,0,0,10,101,0,771
Denis Kang,200,180,240,0,0,0,60,89,0,769
Michael McDonald,200,270,80,0,70,0,40,58,50,768
Jimmie Rivera,100,0,400,0,70,0,40,132,25,767
Macy Chiasson,200,180,160,0,70,0,30,126,0,766
Cortney Casey,100,180,160,0,70,0,90,166,0,766
Davey Grant,300,90,80,0,70,0,60,165,0,765
Pat Healy,0,180,400,0,0,10,70,105,0,765
Akihiro Gono,0,360,240,0,70,0,50,44,0,764
Andrea Lee,100,90,240,0,0,0,70,264,0,764
George Sotiropoulos,100,360,160,0,0,0,50,68,25,763
Khamzat Chimaev,200,270,80,75,0,0,0,113,25,763
Stevie Ray,200,0,160,150,70,0,40,142,0,762
JunYong Park,0,270,160,75,70,0,30,155,0,760
Augusto Sakai,300,0,80,0,140,0,40,150,50,760
Antonio Carlos Junior,0,450,160,0,0,10,50,89,0,759
Bryan Caraway,0,450,160,0,70,0,60,19,0,759
Vinc Pichel,100,0,480,0,0,0,30,148,0,758
Mayra Bueno Silva,0,450,80,75,0,10,30,62,50,757
Mateusz Gamrot,300,90,160,0,70,0,20,66,50,756
Carlos Ulberg,400,90,80,0,0,0,10,175,0,755
Kendall Grove,200,180,80,0,140,0,60,94,0,754
Sergei Pavlovich,600,0,0,0,0,0,20,82,50,752
Kazuyuki Fujita,300,180,160,0,0,0,70,41,0,751
Kyle Noke,300,180,0,0,70,0,60,141,0,751
Brian Bowles,200,360,80,0,0,0,30,30,50,750
Said Nurmagomedov,200,270,80,0,70,0,20,109,0,749
Mairbek Taisumov,500,0,160,0,0,0,20,63,0,743
Sean Woodson,200,0,160,0,210,0,10,163,0,743
Alex Pereira,400,0,80,0,70,0,10,106,75,741
Ray Borg,0,180,400,0,0,0,50,86,25,741
Pat Miletich,100,270,80,0,140,0,20,55,75,740
Aleksandar Rakic,200,0,320,0,0,0,20,173,25,738
Andre Muniz,0,360,240,0,70,0,20,46,0,736
Danny Roberts,300,90,80,0,140,0,70,54,0,734
Claudia Gadelha,0,90,320,0,140,0,50,109,25,734
Enrique Barzola,0,0,400,75,70,0,30,159,0,734
Manon Fiorot,200,0,320,0,0,0,0,214,0,734
Gregory Rodrigues,500,0,80,0,0,0,30,123,0,733
Douglas Silva de Andrade,200,90,320,0,0,0,50,72,0,732
Olivier Aubin-Mercier,100,360,80,0,70,0,50,71,0,731
Julian Erosa,200,180,80,0,140,0,70,61,0,731
Nassourdine Imavov,200,0,160,75,0,10,20,213,50,728
Paulo Costa,400,0,160,0,0,0,30,87,50,727
Karol Rosa,0,0,240,75,140,0,30,242,0,727
Jason High,0,270,240,0,140,0,50,24,0,724
Roger Huerta,300,90,160,0,0,0,20,154,0,724
Matt Frevola,300,90,80,75,70,0,40,68,0,723
Joshua Burkman,100,90,240,0,70,10,120,90,0,720
Erik Perez,200,90,240,0,70,0,20,99,0,719
Leonard Garcia,200,90,0,0,280,0,100,16,25,711
Loopy Godinez,0,180,240,0,140,0,30,121,0,711
Misha Cirkunov,100,450,0,0,0,0,70,89,0,709
Matthew Riddle,100,0,320,0,70,20,30,168,0,708
Makwan Amirkhani,100,360,80,0,70,0,70,25,0,705
Alexander Hernandez,300,0,240,0,0,0,60,104,0,704
Joaquin Buckley,400,0,80,0,70,0,40,114,0,704
Ketlen Vieira,0,90,320,0,210,0,30,3,50,703
Luana Carolina,100,0,320,0,70,0,30,180,0,700
Alexandr Romanov,100,270,80,0,70,0,20,160,0,700
Brendan Schaub,300,90,160,0,0,0,50,97,0,697
James Thompson,500,0,0,0,0,0,60,136,0,696
Hidehiko Yoshida,0,540,80,0,0,0,60,16,0,696
Diego Nunes,0,0,400,0,140,0,40,114,0,694
Ariane Lipski,0,180,240,0,70,0,50,153,0,693
Lavar Johnson,500,0,0,0,0,0,40,153,0,693
Daron Cruickshank,300,0,160,0,70,10,60,93,0,693
Bethe Correia,100,0,160,75,140,0,60,108,50,693
Chad Laprise,300,0,160,0,70,0,40,122,0,692
Wilson Reis,0,180,400,0,0,0,60,23,25,688
Loma Lookboonmee,0,90,320,0,70,0,20,187,0,687
Bill Algeo,100,90,240,0,0,0,40,217,0,687
Abdul Razak Alhassan,600,0,0,0,0,0,60,26,0,686
Luke Stewart,300,270,0,0,0,0,30,86,0,686
Norma Dumont,0,0,400,0,70,0,20,170,25,685
Jennifer Maia,0,90,400,0,0,0,60,108,25,683
Tyson Pedro,400,180,0,0,0,0,50,53,0,683
Brandon Royval,100,270,0,0,140,0,30,92,50,682
Edmen Shahbazyan,400,90,0,0,70,0,40,82,0,682
Gina Carano,200,90,240,0,0,0,10,115,25,680
Sage Northcutt,200,90,240,0,0,0,20,129,0,679
Erin Blanchfield,0,270,240,0,0,0,0,144,25,679
Dennis Hallman,100,360,80,0,0,0,60,28,50,678
Paige VanZant,200,180,80,0,0,0,40,126,50,676
Jason MacDonald,200,360,0,0,0,0,80,36,0,676
Bryce Mitchell,0,90,400,75,0,0,20,89,0,674
Caio Borralho,100,90,400,0,0,0,0,82,0,672
Jake Collier,100,90,160,0,70,0,90,161,0,671
Matheus Nicolau,100,90,240,0,140,0,20,79,0,669
Phil Hawes,300,0,80,75,0,0,50,163,0,668
Billy Evangelista,200,0,240,0,140,0,20,68,0,668
Lando Vannata,100,90,80,75,140,0,70,112,0,667
Muslim Salikhov,300,0,160,0,70,0,40,97,0,667
Jimmy Crute,300,180,0,75,0,0,40,72,0,667
Mirsad Bektic,200,90,80,75,70,0,40,112,0,667
Anthony Hernandez,100,360,80,0,0,10,20,96,0,666
Josh Neer,0,270,160,0,0,0,90,146,0,666
Rafael Fiziev,300,0,240,0,0,0,30,46,50,666
Shane Carwin,500,0,0,0,0,0,20,96,50,666
Ryo Chonan,0,90,240,0,140,0,80,115,0,665
Ricardo Ramos,200,90,240,0,70,0,40,24,0,664
Jack Shore,0,270,160,0,70,0,10,154,0,664
Roman Dolidze,400,0,80,0,70,0,30,58,25,663
Marc-Andre Barriault,200,90,160,0,0,10,60,143,0,663
Chase Sherman,300,0,80,0,0,0,110,173,0,663
Eugene Jackson,300,180,80,0,0,0,50,27,25,662
Semmy Schilt,400,180,0,0,0,0,40,41,0,661
Chris Curtis,400,0,80,0,70,10,20,81,0,661
Antonina Shevchenko,200,90,80,0,70,0,40,179,0,659
Brock Larson,200,270,80,0,0,0,40,44,25,659
Tom Lawlor,200,180,160,0,0,0,50,67,0,657
Zabit Magomedsharipov,0,270,240,0,0,0,0,147,0,657
Christos Giagos,100,180,240,0,0,0,70,65,0,655
Scott Smith,500,0,0,0,0,10,90,5,50,655
Jason Miller,200,180,80,0,0,10,50,84,50,654
Jessica Penne,100,270,0,0,140,0,60,7,75,652
Casey Kenney,0,90,400,0,0,0,40,120,0,650
Aleksander Emelianenko,300,180,0,0,70,0,30,70,0,650
John Howard,200,0,80,0,280,0,70,20,0,650
Thomas Almeida,400,0,80,0,0,0,50,93,25,648
Jeff Monson,100,270,80,0,70,0,60,42,25,647
Benoit Saint Denis,300,180,0,0,0,0,20,122,25,647
Wilson Gouveia,200,360,0,0,0,0,40,46,0,646
Efrain Escudero,100,90,240,0,0,0,70,146,0,646
Melvin Manhoef,500,0,0,0,0,0,60,85,0,645
Ryan Couture,100,180,0,75,140,0,30,120,0,645
Terry Etim,100,360,80,0,0,0,50,55,0,645
Mike Kyle,300,90,80,0,0,10,60,104,0,644
Adrian Yanez,500,0,0,0,70,0,20,50,0,640
Rameau Thierry Sokoudjou,500,0,0,0,0,0,60,78,0,638
Don'Tale Mayes,400,0,80,0,0,10,50,98,0,638
Shavkat Rakhmonov,100,450,0,0,0,0,0,86,0,636
Maurice Smith,100,270,80,0,70,0,30,85,0,635
Mac Danzig,100,180,160,0,0,0,100,95,0,635
Umar Nurmagomedov,100,180,160,0,0,0,0,195,0,635
Montana De La Rosa,100,270,80,75,0,0,50,59,0,634
Sijara Eubanks,100,0,320,0,0,0,50,163,0,633
Viviane Araujo,100,0,400,0,0,0,50,55,25,630
Ron Waterman,100,180,240,0,0,0,40,70,0,630
James Te Huna,300,0,160,0,0,0,50,93,25,628
Ramsey Nijem,200,0,240,0,0,0,50,137,0,627
Abel Trujillo,300,90,80,0,0,10,40,106,0,626
Felipe Arantes,100,180,160,0,70,0,60,54,0,624
Constantinos Philippou,300,0,160,0,70,0,40,27,25,622
Ignacio Bahamondes,200,90,80,0,0,0,20,231,0,621
Steve Garcia,500,0,0,0,0,0,20,101,0,621
Pannie Kianzad,0,0,400,0,0,0,50,171,0,621
Norman Parke,100,0,320,75,0,0,30,95,0,620
John Alessio,0,270,160,0,0,0,80,85,25,620
Miranda Maverick,0,180,240,0,0,0,30,167,0,617
Daniel Pineda,100,360,0,0,0,10,60,87,0,617
Kazuo Misaki,100,0,240,0,140,10,50,77,0,617
Matt Schnell,0,270,80,0,140,10,60,55,0,615
Maryna Moroz,0,180,240,0,70,0,60,64,0,614
Marcin Prachnio,100,0,240,0,0,0,50,223,0,613
Marlon Moraes,200,90,0,0,140,0,60,23,100,613
Jared Rosholt,100,0,400,0,0,0,20,90,0,610
Yves Jabouin,0,0,240,0,210,0,70,89,0,609
Francis Carmont,0,180,240,0,70,0,30,86,0,606
Paul Kelly,100,90,240,0,0,0,40,133,0,603
Mickey Gall,0,450,80,0,0,0,50,22,0,602
Rob McCullough,100,90,80,75,70,0,50,62,75,602
Darren Stewart,200,90,80,0,70,20,70,71,0,601
Dan Hardy,200,0,160,0,140,0,40,35,25,600
Waldo Cortes-Acosta,200,0,240,0,0,0,10,150,0,600
James Terry,400,0,160,0,0,0,40,0,0,600
Terrance McKinney,300,180,0,0,0,0,40,80,0,600
Damon Jackson,100,180,160,75,0,10,40,34,0,599
Nina Nunes,0,90,240,0,70,0,40,158,0,598
Krzysztof Soszynski,100,180,160,0,0,0,50,108,0,598
Francisco Rivera,300,0,80,0,0,10,70,136,0,596
Zubaira Tukhugov,200,0,160,0,140,0,30,66,0,596
Joe Solecki,0,270,160,75,0,0,20,70,0,595
Tom Breese,400,0,80,0,0,0,30,81,0,591
Jessica Eye,0,0,160,0,140,10,100,131,50,591
Cody Durden,100,0,400,0,0,0,30,60,0,590
Marius Zaromskis,300,0,160,0,0,10,20,74,25,589
Tracy Cortez,0,0,400,0,70,0,0,119,0,589
Tony Gravely,300,0,80,0,70,0,40,98,0,588
Joaquim Silva,300,0,80,0,140,0,40,27,0,587
Lerone Murphy,200,0,160,0,140,0,0,87,0,587
Ludovit Klein,200,0,160,75,70,0,20,60,0,585
Ricky Glenn,100,0,80,75,140,0,50,140,0,585
Jamie Mullarkey,200,0,160,0,70,0,50,104,0,584
Natalia Silva,200,0,240,0,0,0,0,144,0,584
Taila Santos,0,90,320,0,0,0,30,118,25,583
Brian Ebersole,100,0,240,0,140,0,30,70,0,580
Justin Scoggins,100,0,240,0,0,0,50,189,0,579
Daniel Kelly,100,90,240,0,70,0,40,38,0,578
Cyrille Diabate,100,90,80,75,0,0,50,182,0,577
Anthony Perosh,200,270,0,0,0,0,70,37,0,577
Sean Brady,0,270,240,0,0,0,10,56,0,576
Shamil Abdurakhimov,200,0,160,0,70,0,60,59,25,574
William Knight,300,0,160,0,0,0,40,73,0,573
Robert Peralta,200,0,80,0,140,10,30,112,0,572
Yana Santos,0,0,320,0,0,0,50,175,25,570
Miles Johns,200,0,160,0,70,10,20,108,0,568
Pat Barry,400,0,80,0,0,0,70,18,0,568
Karl Roberson,100,180,80,0,70,0,60,77,0,567
Chris Daukaus,400,0,0,0,0,0,40,76,50,566
Luke Sanders,200,90,80,0,0,0,50,146,0,566
Bryan Battle,200,180,80,0,0,10,10,85,0,565
Roosevelt Roberts,0,270,160,0,0,10,40,85,0,565
Paulo Thiago,100,90,240,0,0,0,80,54,0,564
Casey O'Neill,200,90,0,0,70,0,20,184,0,564
Marcus Aurelio,100,180,160,0,0,0,80,41,0,561
Sam Sicilia,300,0,160,0,0,0,70,31,0,561
Rashid Magomedov,100,0,240,0,70,0,10,141,0,561
Oleg Taktarov,0,450,80,0,0,0,30,0,0,560
Tatsuro Taira,100,180,160,0,0,0,0,118,0,558
Joel Alvarez,200,270,0,0,0,0,20,68,0,558
Bart Palaszewski,300,90,0,0,70,0,70,27,0,557
Katsunori Kikuno,200,90,160,0,0,0,50,55,0,555
Javid Basharat,0,90,240,0,0,10,10,203,0,553
Matthew Semelsberger,200,0,240,0,0,0,50,62,0,552
Charles Rosa,0,180,80,0,140,0,80,72,0,552
Diego Brandao,100,180,160,0,0,0,40,46,25,551
Luis Pena,100,90,160,0,70,0,30,101,0,551
Muhammad Mokaev,0,360,160,0,0,0,0,29,0,549
Song Kenan,300,0,160,0,0,0,40,48,0,548
Frankie Saenz,0,0,240,0,140,0,50,116,0,546
Dusko Todorovic,300,0,80,0,0,0,40,125,0,545
Steven Siler,100,90,240,0,0,0,40,74,0,544
Armen Petrosyan,100,0,160,0,70,0,20,193,0,543
Andrew Sanchez,100,0,320,0,0,0,50,73,0,543
Jose Quinonez,0,90,320,0,0,0,40,92,0,542
Alex White,200,0,160,0,0,0,60,122,0,542
John Castaneda,100,90,240,0,0,0,20,92,0,542
Seth Baczynski,100,180,80,0,70,0,60,51,0,541
Michael Morales,200,0,240,0,0,0,0,101,0,541
Jacob Volkmann,0,90,240,0,140,0,40,31,0,541
Jorge Gurgel,0,90,240,0,70,0,80,58,0,538
Godofredo Pepey,100,270,0,0,70,0,60,38,0,538
Khaos Williams,300,0,80,0,70,0,20,68,0,538
Ivan Salaverry,200,180,0,0,0,0,40,117,0,537
Dustin Hazelett,0,360,80,0,0,0,50,46,0,536
Leslie Smith,200,0,160,0,0,0,30,145,0,535
Albert Tumenov,300,0,80,0,70,0,30,55,0,535
Marloes Coenen,0,360,0,0,0,0,20,53,100,533
Uros Medic,400,0,0,0,0,0,20,112,0,532
Jimi Manuwa,300,0,80,0,0,0,60,65,25,530
Drew Fickett,0,360,80,0,0,0,40,50,0,530
Marco Ruas,100,360,0,0,0,0,30,39,0,529
Siyar Bahadurzada,300,90,0,0,0,0,40,98,0,528
Rinya Nakamura,200,90,160,0,0,0,0,78,0,528
Jason Lambert,300,90,0,0,0,0,40,96,0,526
David Teymur,200,0,240,0,0,0,10,76,0,526
Makhmud Muradov,200,0,160,0,0,10,20,135,0,525
Damir Ismagulov,0,0,320,0,70,0,20,114,0,524
Jordan Leavitt,200,180,0,0,70,0,30,44,0,524
Joanderson Brito,200,180,80,0,0,0,10,53,0,523
Paul Taylor,200,0,80,0,70,0,50,123,0,523
Jordan Espinosa,100,90,160,0,0,0,40,133,0,523
Adlan Amagov,300,0,80,0,70,0,10,62,0,522
Ian McCall,100,0,160,75,0,0,50,134,0,519
Charlie Valencia,100,90,160,0,70,0,50,49,0,519
Cameron Saaiman,300,0,0,75,0,0,10,133,0,518
Doug Marshall,300,90,0,0,0,0,10,42,75,517
Alex Garcia,200,90,80,0,70,0,50,25,0,515
Steve Cantwell,200,180,0,0,0,0,60,50,25,515
Jasmine Jasudavicius,0,90,320,0,0,0,20,84,0,514
Rongzhu,200,90,80,0,0,0,20,123,0,513
Joselyne Edwards,0,0,160,0,140,0,30,183,0,513
Christian Rodriguez,0,90,240,0,70,0,10,102,0,512
Paddy Pimblett,100,180,160,0,0,0,0,70,0,510
Roxanne Modafferi,100,0,160,0,70,0,100,30,50,510
Viacheslav Borshchev,300,0,0,75,0,0,20,115,0,510
Kenny Robertson,100,180,80,0,0,0,50,100,0,510
Fares Ziam,0,0,240,75,70,0,20,103,0,508
Ryan Gracie,200,180,0,0,70,0,20,35,0,505
Ali Bagautinov,100,0,240,0,0,0,30,110,25,505
Roman Kopylov,400,0,0,0,0,0,30,75,0,505
Ben Nguyen,100,180,80,0,0,0,30,114,0,504
Antoni Hardonk,400,0,0,0,0,0,40,64,0,504
Soa Palelei,400,0,0,0,0,0,40,63,0,503
Mike Davis,100,90,240,0,0,0,20,53,0,503
Andre Petroski,100,180,80,0,70,0,10,63,0,503
Alan Patrick,100,0,320,0,0,10,40,32,0,502
Ode Osbourne,200,90,80,0,70,0,50,12,0,502
Hector Lombard,200,0,80,0,0,10,100,112,0,502
Aspen Ladd,300,0,80,0,0,0,30,41,50,501
Brett Rogers,400,0,0,0,0,0,30,45,25,500
SeungWoo Choi,100,0,240,0,0,0,50,109,0,499
Aiemann Zahabi,200,0,240,0,0,0,20,39,0,499
Ryan Hall,0,90,320,0,0,0,10,79,0,499
Maximo Blanco,100,0,240,0,0,0,60,99,0,499
Adriano Martins,200,90,80,0,70,0,40,19,0,499
Luiz Cane,300,0,80,0,0,0,50,69,0,499
Taylor Lapilus,100,0,240,0,0,0,20,138,0,498
Terry Martin,400,0,0,0,0,0,60,37,0,497
Trevor Prangley,0,180,160,0,0,0,60,97,0,497
Gavin Tucker,0,180,160,0,0,0,30,127,0,497
Amir Albazi,100,180,80,0,70,0,0,39,25,494
Pat Sabatini,0,180,240,0,0,0,20,53,0,493
Martin Buday,100,90,160,0,70,0,10,63,0,493
Claudio Silva,0,270,80,0,70,0,30,43,0,493
Da Woon Jung,200,90,80,0,70,0,30,22,0,492
Marco Polo Reyes,300,0,0,0,70,0,40,82,0,492
Keita Nakamura,0,180,0,0,210,0,70,31,0,491
Din Thomas,0,180,160,0,70,0,40,40,0,490
Peter Sobotta,100,90,160,0,0,0,60,80,0,490
Igor Pokrajac,200,90,80,0,0,10,80,29,0,489
Dean Lister,0,270,160,0,0,0,40,19,0,489
Alex Karalexis,200,0,80,75,0,0,50,81,0,486
Ramazan Emeev,0,0,320,0,70,0,30,65,0,485
Claudio Puelles,0,270,160,0,0,0,30,25,0,485
Aaron Riley,100,0,240,0,0,0,60,85,0,485
Drew McFedries,400,0,0,0,0,0,50,34,0,484
Eric Lawson,100,360,0,0,0,0,20,4,0,484
Jessica-Rose Clark,100,0,160,0,70,0,50,104,0,484
Dooho Choi,300,0,0,75,0,0,30,52,25,482
Rich Clementi,0,270,80,0,70,0,60,1,0,481
Melsik Baghdasaryan,100,0,240,0,0,0,10,131,0,481
Ivan Menjivar,100,180,80,0,0,0,70,50,0,480
Damir Hadzovic,200,0,80,0,70,0,50,80,0,480
Vitor Petrino,200,90,160,0,0,0,0,30,0,480
Brett Johns,0,180,240,0,0,0,20,39,0,479
Felice Herrig,0,180,160,0,70,0,50,19,0,479
Punahele Soriano,300,0,80,0,0,0,40,59,0,479
Roger Bowling,200,0,160,0,0,10,50,58,0,478
Daniel Omielanczuk,200,0,0,150,0,0,50,78,0,478
Jerry Bohlander,0,360,80,0,0,0,20,18,0,478
Sabina Mazo,0,90,80,0,70,0,40,196,0,476
Lina Lansberg,0,0,320,0,0,0,70,61,25,476
Tamdan McCrory,100,180,80,0,0,0,50,65,0,475
Ian Heinisch,200,0,160,0,0,0,40,75,0,475
Guido Cannetti,100,90,160,0,0,0,60,64,0,474
Desmond Green,100,0,160,0,70,0,30,114,0,474
Johnny Case,100,90,160,0,0,0,20,103,0,473
Jason Knight,100,90,80,0,70,0,50,83,0,473
Michihiro Omigawa,100,180,80,0,0,0,80,32,0,472
Michael Chandler,300,90,0,0,0,0,30,27,25,472
Joe Pyfer,300,90,0,0,0,0,20,37,25,472
Rafa Garcia,0,90,240,0,0,0,30,112,0,472
Caros Fodor,200,90,160,0,0,0,20,1,0,471
Rodolfo Vieira,0,450,0,0,0,0,20,0,0,470
Youssef Zalal,0,0,240,75,0,0,30,123,0,468
Phil Rowe,400,0,0,0,0,0,20,48,0,468
Chris Wade,0,180,240,0,0,0,20,28,0,468
Polyana Viana,100,270,0,0,0,0,60,37,0,467
Darren Uyenoyama,0,270,160,0,0,0,30,6,0,466
Luigi Fioravanti,200,0,160,0,0,0,50,56,0,466
Dwight Grant,200,0,0,0,140,0,50,74,0,464
TJ Brown,0,180,80,0,70,0,50,83,0,463
Tafon Nchukwi,100,0,160,0,0,0,40,162,0,462
Priscila Cachoeira,300,0,80,0,0,0,60,22,0,462
Mike Rodriguez,300,0,0,0,0,10,50,99,0,459
Julian Marquez,100,270,0,0,0,0,30,59,0,459
Justin Tafa,400,0,0,0,0,10,30,19,0,459
Hatsu Hioki,0,0,240,0,70,0,50,98,0,458
Mateusz Rebecki,100,180,80,0,0,0,0,98,0,458
Mitch Gagnon,0,270,80,0,0,0,40,67,0,457
CJ Vergara,200,0,80,0,70,0,30,77,0,457
Miguel Baeza,200,90,80,0,0,0,30,56,0,456
Kenji Osawa,0,0,80,0,280,0,30,66,0,456
Justin Wilcox,0,90,240,0,0,10,30,85,0,455
Joe Proctor,200,90,80,0,0,0,40,45,0,455
Anthony Hamilton,200,0,80,0,0,0,70,105,0,455
Omar Morales,100,0,240,0,0,0,40,74,0,454
Azamat Murzakanov,300,0,80,0,0,0,0,73,0,453
Josh Parisian,300,0,0,0,70,0,50,30,0,450
Rodrigo Nascimento,0,180,80,0,140,10,10,30,0,450
DaMarques Johnson,200,180,0,0,0,0,60,10,0,450
Jeff Molina,100,0,160,0,70,0,0,119,0,449
Nah-Shon Burrell,100,0,160,0,70,0,20,98,0,448
Charlie Brenneman,0,0,320,0,0,0,70,58,0,448
Luis Saldana,100,0,160,0,70,0,10,107,0,447
Manel Kape,200,0,160,0,0,0,20,67,0,447
Teruto Ishihara,200,0,80,0,70,0,50,47,0,447
Impa Kasanganay,0,90,240,0,0,0,20,97,0,447
Alatengheili,100,0,240,0,70,0,20,17,0,447
Alessio Di Chirico,200,0,0,0,140,0,70,36,0,446
Joey Beltran,200,0,80,0,0,10,70,85,0,445
Dhiego Lima,100,0,80,0,140,0,70,55,0,445
David Branch,100,0,160,0,70,0,50,40,25,445
Tsuyoshi Kohsaka,200,0,160,0,0,0,50,33,0,443
Andre Ewell,0,0,80,0,210,0,50,103,0,443
Josh Grispi,100,270,0,0,0,0,40,32,0,442
Yuta Sasaki,0,360,0,0,0,0,50,32,0,442
Kajan Johnson,100,0,160,0,70,0,30,82,0,442
Todd Duffee,300,0,0,0,0,10,30,74,25,439
Jeremiah Wells,200,90,0,0,70,0,20,59,0,439
Yoshiro Maeda,100,90,80,0,0,0,90,54,25,439
Vaughan Lee,0,90,160,0,0,0,50,139,0,439
Roan Carneiro,100,90,80,0,70,0,60,38,0,438
Brad Riddell,0,0,240,0,70,0,30,98,0,438
Manuel Torres,300,90,0,0,0,0,0,46,0,436
Joe Duffy,100,180,80,0,0,0,40,35,0,435
Parker Porter,100,0,240,0,0,0,40,55,0,435
Rony Jason,200,90,80,0,0,10,40,14,0,434
Farid Basharat,0,90,240,0,0,0,0,103,0,433
Bobby Voelker,300,0,0,0,70,0,50,11,0,431
Nate Landwehr,0,180,80,75,0,0,30,65,0,430
Felicia Spencer,200,90,0,0,0,0,30,85,25,430
Maurice Greene,100,180,0,0,70,0,40,37,0,427
Paul Varelans,200,90,80,0,0,0,40,17,0,427
Josh Culibao,0,90,80,0,140,0,30,85,0,425
Cheyanne Vlismas,100,0,160,0,0,0,20,144,0,424
Chris Gruetzemacher,100,0,160,0,0,0,40,124,0,424
Jon Tuck,100,180,80,0,0,0,50,13,0,423
Batgerel Danaa,300,0,0,0,0,0,40,83,0,423
TJ Waldburger,0,270,80,0,0,0,40,32,0,422
Brandon Davis,0,90,160,0,0,0,70,102,0,422
Caio Magalhaes,200,90,80,0,0,0,30,22,0,422
Charles Johnson,100,0,80,0,70,0,40,131,0,421
Ji Yeon Kim,100,0,0,0,140,0,70,111,0,421
Justin Willis,100,0,240,0,0,0,10,70,0,420
HyunSung Park,200,180,0,0,0,0,0,39,0,419
Marcus Brimage,100,0,160,0,70,0,40,48,0,418
Sean Pierson,0,0,240,75,0,0,20,81,0,416
Daisuke Nakamura,100,270,0,0,0,0,40,6,0,416
Daiju Takase,100,90,80,0,70,0,60,16,0,416
Nate Maness,200,90,80,0,0,0,20,26,0,416
Davi Ramos,0,270,80,0,0,0,30,36,0,416
Daniel Zellhuber,0,90,240,0,0,0,10,76,0,416
Kevin Ferguson,300,0,80,0,0,0,20,15,0,415
Roger Gracie,0,270,80,0,0,0,20,45,0,415
Mike Malott,100,270,0,0,0,0,10,34,0,414
Jared Hamman,200,0,80,0,0,0,50,83,0,413
Jon Madsen,100,0,160,0,70,0,10,73,0,413
Patrick Smith,100,270,0,0,0,0,20,23,0,413
Lucie Pudilova,100,0,160,0,0,0,70,83,0,413
Lyman Good,300,0,0,0,0,0,30,82,0,412
Rinat Fakhretdinov,0,90,160,75,0,0,0,87,0,412
Cat Zingano,200,0,80,0,0,0,40,67,25,412
Francimar Barroso,0,0,320,0,0,10,40,42,0,412
Luiz Firmino,0,180,160,0,0,0,30,41,0,411
Christian Leroy Duncan,300,0,0,0,0,0,10,101,0,411
Kyle Nelson,100,0,160,75,0,0,40,35,0,410
Ian Freeman,200,0,80,0,70,0,20,40,0,410
Naoya Ogawa,100,270,0,0,0,0,20,19,0,409
Michael Trizano,100,0,80,0,140,0,30,58,0,408
Jay Hieron,100,0,240,0,0,0,40,28,0,408
Lucas Martins,200,90,0,0,70,0,30,17,0,407
Zak Ottow,100,0,0,0,210,0,40,57,0,407
Vitor Miranda,300,0,0,0,0,0,40,67,0,407
Vince Morales,100,0,160,0,0,0,60,87,0,407
Renzo Gracie,0,90,160,0,0,0,60,95,0,405
Kyle Kingsbury,100,0,160,0,70,0,50,25,0,405
Mario Sperry,200,90,0,0,0,0,30,84,0,404
Tabatha Ricci,0,90,240,0,0,0,20,54,0,404
Alex Stiebling,100,0,160,0,0,0,60,59,25,404
Carlston Harris,100,180,80,0,0,0,10,34,0,404
Denise Gomes,200,0,80,0,0,0,20,104,0,404
Rodrigo Gracie,0,90,240,0,0,0,10,63,0,403
Sumudaerji,100,0,160,0,0,0,30,112,0,402
Philipe Lins,100,0,240,0,0,0,20,41,0,401
Chidi Njokuani,300,0,0,0,0,0,30,70,0,400
Alexander Otsuka,100,90,80,0,0,0,90,40,0,400
Timothy Johnson,100,0,160,0,70,0,30,38,0,398
Wagnney Fabiano,0,90,240,0,0,0,20,48,0,398
Mark Madsen,100,0,160,0,70,0,20,48,0,398
Jiri Prochazka,200,90,0,0,0,0,10,23,75,398
Gerald Harris,300,0,0,0,70,0,10,17,0,397
Kamal Shalorus,100,0,80,0,140,0,30,47,0,397
Devonte Smith,300,0,0,0,0,0,30,67,0,397
Ashlee Evans-Smith,100,0,80,0,70,0,60,86,0,396
Hyun Gyu Lim,300,0,0,0,0,0,40,31,25,396
Jamall Emmers,100,0,160,0,0,0,40,95,0,395
Jake O'Brien,100,0,160,0,70,0,40,25,0,395
Mike Russow,100,90,160,0,0,0,30,14,0,394
Alex Serdyukov,100,180,0,0,0,0,30,83,0,393
Magnus Cedenblad,100,180,80,0,0,0,20,12,0,392
Bob Sapp,300,0,0,0,0,0,40,52,0,392
Nick Hein,0,0,320,0,0,0,40,31,0,391
Tyson Nam,300,0,0,0,0,0,50,41,0,391
Bevon Lewis,200,0,80,0,0,0,30,80,0,390
Daniel Puder,0,270,80,0,0,0,0,40,0,390
Riki Fukuda,0,0,240,0,0,0,30,120,0,390
Jamie Pickett,100,0,160,0,0,0,90,40,0,390
Yoshihisa Yamamoto,200,90,0,0,0,0,60,37,0,387
Nick Catone,0,90,80,0,140,0,40,37,0,387
