name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value
Yves Edwards,600,270,320,0,70,10,130,288,25,1713
Ikuhisa Minowa,300,990,160,0,70,0,130,61,0,1711
Alexander Volkov,600,90,240,0,70,0,40,490,175,1705
Gary Goodridge,1200,90,0,0,70,0,160,183,0,1703
Ben Rothwell,900,270,160,0,140,0,90,116,25,1701
Marlon Vera,700,360,320,0,0,0,80,139,100,1699
Tony Ferguson,300,540,240,0,70,0,80,355,100,1685
Gilbert Burns,300,450,560,0,0,0,70,195,75,1650
Raphael Assuncao,200,90,640,0,280,0,90,323,25,1648
Curtis Blaydes,700,0,400,0,0,10,40,322,175,1647
Nik Lentz,300,180,560,75,140,10,90,287,0,1642
Khabib Nurmagomedov,200,450,480,0,0,0,0,410,100,1640
Ricardo Lamas,500,270,560,0,0,0,80,168,50,1628
Sean O'Malley,700,0,240,0,70,10,10,543,50,1623
Johny Hendricks,600,0,480,75,140,0,80,146,100,1621
Heath Herring,500,450,160,0,140,0,80,287,0,1617
Brad Tavares,200,0,800,0,210,0,90,290,25,1615
Anthony Johnson,1100,0,160,0,0,0,60,193,100,1613
Josh Koscheck,600,270,400,0,70,0,100,146,25,1611
Rob Font,600,90,240,0,0,0,70,509,100,1609
Chris Leben,800,270,160,0,70,0,110,148,50,1608
Drew Dober,1000,90,240,0,0,10,90,175,0,1605
Hayato Sakurai,600,90,560,0,0,0,90,232,25,1597
Anthony Smith,600,450,80,0,70,0,110,107,175,1592
Leon Edwards,300,90,640,75,70,10,20,206,175,1586
Belal Muhammad,200,90,800,0,70,10,30,299,75,1574
Colby Covington,300,180,560,0,0,0,40,314,175,1569
Islam Makhachev,300,540,400,0,0,0,10,190,125,1565
Dan Hooker,700,180,160,0,140,0,80,253,50,1563
Vicente Luque,700,450,80,0,70,0,50,129,50,1529
Ciryl Gane,400,180,240,0,0,0,20,514,175,1529
Rick Story,200,180,400,0,210,0,70,440,25,1525
Kelvin Gastelum,300,180,320,0,210,10,90,238,175,1523
Jack Hermansson,300,270,400,0,0,0,60,364,125,1519
Gleison Tibau,100,360,480,0,350,0,120,106,0,1516
Chad Mendes,600,90,480,0,0,0,50,162,125,1507
Ed Herman,400,450,240,0,70,10,130,207,0,1507
Dennis Siver,300,180,480,75,0,10,80,355,25,1505
Yushin Okami,400,0,640,0,140,0,80,188,50,1498
Mike Pyle,500,450,240,0,70,0,100,134,0,1494
Miesha Tate,100,450,480,75,0,0,80,158,150,1493
Joe Lauzon,500,630,80,0,70,0,120,84,0,1484
Yoshihiro Akiyama,500,630,80,0,70,20,60,121,0,1481
Forrest Griffin,200,270,480,0,70,0,60,349,50,1479
Evan Dunham,100,90,400,75,210,0,90,502,0,1467
Raquel Pennington,0,270,560,0,210,0,50,322,50,1462
Thiago Silva,1000,90,80,0,0,20,30,241,0,1461
Stefan Struve,500,540,80,75,0,0,110,102,50,1457
John Lineker,600,90,320,0,70,0,40,284,50,1454
Yair Rodriguez,400,90,240,0,140,10,40,290,225,1435
Chael Sonnen,0,180,640,0,0,0,90,397,125,1432
Tim Boetsch,700,0,240,0,140,0,120,198,25,1423
Cheick Kongo,600,0,320,75,0,0,60,367,0,1422
Angela Hill,100,0,720,0,0,0,130,415,50,1415
Kenny Florian,200,720,160,0,0,0,50,207,75,1412
Tim Sylvia,500,0,320,0,0,0,50,292,250,1412
Conor McGregor,800,0,80,75,0,0,40,141,275,1411
Chris Lytle,200,540,240,0,70,0,100,256,0,1406
Alexander Gustafsson,500,180,240,0,0,0,80,230,175,1405
John Makdessi,300,0,480,0,140,0,90,391,0,1401
Renan Barao,200,450,320,0,0,0,80,191,150,1391
Gabriel Gonzaga,700,360,80,0,0,0,110,90,50,1390
Thales Leites,200,450,400,0,70,0,80,129,50,1379
Alex Morono,200,180,560,0,70,10,60,296,0,1376
Chris Weidman,400,270,320,0,0,0,70,116,200,1376
Dong Hyun Kim,400,90,480,0,140,10,40,184,25,1369
Brian Stann,800,90,160,0,0,0,60,183,75,1368
Patrick Cote,700,0,320,0,70,0,110,116,50,1366
